initial_sheep,initial_wolves,replication,steps_run,final_wolves,final_sheep,peak_wolves,peak_sheep,wolves_extinct,wolves_extinct_step,sheep_extinct,sheep_extinct_step,final_grass,peak_grass,grass_extinct,grass_extinct_step
50,5,0,100,17,21,28,58,False,,False,,152,217,False,
50,5,2,100,3,6,30,52,False,,False,,322,340,False,
50,5,1,100,15,1,38,58,False,,False,,378,378,False,
50,5,3,100,0,76,16,81,True,81.0,False,,23,211,False,
50,10,0,100,9,15,26,51,False,,False,,174,243,False,
50,5,4,100,12,53,24,62,False,,False,,55,217,False,
50,10,1,100,7,0,28,52,False,,True,95.0,369,369,False,
50,10,3,100,0,1,43,50,True,91.0,False,,380,380,False,
50,10,2,100,7,44,29,50,False,,False,,64,196,False,
50,10,4,100,23,2,36,50,False,,False,,348,348,False,
50,15,0,100,8,0,33,50,False,,True,99.0,358,358,False,
50,15,1,100,0,8,32,50,True,99.0,False,,269,364,False,
50,15,2,99,0,0,44,50,True,99.0,True,47.0,400,400,False,
50,20,0,100,0,21,40,50,True,87.0,False,,174,346,False,
50,20,1,84,0,0,41,50,True,84.0,True,47.0,400,400,False,
50,15,4,100,3,0,32,50,False,,True,67.0,400,400,False,
50,20,2,100,2,17,48,50,False,,False,,163,313,False,
50,15,3,100,18,19,23,50,False,,False,,152,235,False,
50,20,3,100,1,35,42,50,False,,False,,109,276,False,
50,25,0,80,0,0,49,50,True,80.0,True,40.0,400,400,False,
50,25,1,100,5,5,55,50,False,,False,,293,367,False,
50,20,4,100,2,31,37,51,False,,False,,120,299,False,
50,25,3,100,4,23,50,50,False,,False,,147,340,False,
50,25,2,84,0,0,55,50,True,84.0,True,43.0,400,400,False,
50,25,4,100,1,0,39,50,False,,True,43.0,400,400,False,
75,5,0,100,21,8,29,79,False,,False,,269,269,False,
75,5,1,100,13,25,24,75,False,,False,,172,215,False,
75,5,3,100,12,3,33,81,False,,False,,349,349,False,
75,5,4,100,24,12,27,87,False,,False,,175,218,False,
75,10,2,100,0,3,31,75,True,95.0,False,,358,359,False,
75,5,2,100,11,15,26,85,False,,False,,156,279,False,
75,10,0,100,3,19,38,75,False,,False,,233,263,False,
75,10,1,100,6,4,30,75,False,,False,,358,363,False,
75,10,3,100,8,23,34,75,False,,False,,109,214,False,
75,10,4,100,10,11,40,75,False,,False,,273,288,False,
75,15,1,100,2,0,42,75,False,,True,65.0,400,400,False,
